"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Belarus","2007","Female","Not applicable","Number","134.15532"
"Belarus","2007","All genders","Not applicable","Number","134.57304"
"Belarus","2006","All genders","Not applicable","Number","114.02598"
"Belarus","2006","Female","Not applicable","Number","113.29114"
"Belarus","2006","Male","Not applicable","Number","114.72028"
"Belgium","2013","Male","Not applicable","Number","84.5189"
"Belgium","2013","All genders","Not applicable","Number","86.98742"
"Belgium","2013","Female","Not applicable","Number","89.5605"
"Belize","2014","Male","Not applicable","Number","53.47635"
"Belize","2014","Female","Not applicable","Number","59.66408"
"Belize","2014","All genders","Not applicable","Number","56.57062"
"Belize","2013","Male","Not applicable","Number","51.88482"
"Belize","2013","All genders","Not applicable","Number","56.71115"
"Belize","2013","Female","Not applicable","Number","61.53243"
"Belize","2012","Male","Not applicable","Number","54.36402"
"Belize","2012","All genders","Not applicable","Number","58.68351"
"Belize","2012","Female","Not applicable","Number","62.99841"
"Belize","2011","All genders","Not applicable","Number","55.30385"
"Belize","2011","Female","Not applicable","Number","58.88104"
"Belize","2011","Male","Not applicable","Number","51.73442"
"Belize","2010","All genders","Not applicable","Number","46.40423"
"Belize","2010","Male","Not applicable","Number","41.35443"
"Belize","2010","Female","Not applicable","Number","51.47797"
"Belize","2009","All genders","Not applicable","Number","43.55732"
"Belize","2009","Female","Not applicable","Number","48.57387"
"Belize","2009","Male","Not applicable","Number","38.57911"
"Belize","2008","All genders","Not applicable","Number","49.52631"
"Belize","2008","Male","Not applicable","Number","44.09632"
"Belize","2008","Female","Not applicable","Number","55.00879"
"Belize","2006","All genders","Not applicable","Number","55.85558"
"Belize","2006","Female","Not applicable","Number","59.59032"
"Belize","2006","Male","Not applicable","Number","52.16324"
"Benin","2014","Male","Not applicable","Number","40.12766"
"Benin","2014","Female","Not applicable","Number","24.43121"
"Benin","2014","All genders","Not applicable","Number","32.29967"
"Benin","2013","Male","Not applicable","Number","24.98491"
"Benin","2013","All genders","Not applicable","Number","20.05205"
"Benin","2013","Female","Not applicable","Number","15.10356"
"Benin","2011","All genders","Not applicable","Number","25.69057"
"Benin","2011","Female","Not applicable","Number","17.42929"
"Benin","2011","Male","Not applicable","Number","33.95522"
"Bermuda","2014","Male","Not applicable","Number","0"
"Bermuda","2014","Female","Not applicable","Number","0"
"Bermuda","2014","All genders","Not applicable","Number","0"
"Bhutan","2014","Female","Not applicable","Number","76.19372"
"Bhutan","2014","Male","Not applicable","Number","66.38478"
"Bhutan","2014","All genders","Not applicable","Number","71.21791"
"Bhutan","2013","Female","Not applicable","Number","70.97949"
"Bhutan","2013","All genders","Not applicable","Number","67.94045"
"Bhutan","2013","Male","Not applicable","Number","64.99018"
"Bhutan","2012","Male","Not applicable","Number","77.44204"
"Bhutan","2012","Female","Not applicable","Number","86.61037"
"Bhutan","2012","All genders","Not applicable","Number","81.9605"
"Bhutan","2009","All genders","Not applicable","Number","68.46408"
"Bhutan","2009","Female","Not applicable","Number","68.55981"
"Bhutan","2009","Male","Not applicable","Number","68.37036"
"Bhutan","2008","Male","Not applicable","Number","62.25716"
"Bhutan","2008","Female","Not applicable","Number","62.68502"
"Bhutan","2008","All genders","Not applicable","Number","62.46941"
"Bolivia","2013","Male","Not applicable","Number","85.0669"
"Bolivia","2013","Female","Not applicable","Number","87.92631"
"Bolivia","2013","All genders","Not applicable","Number","86.47453"
"Bolivia","2012","Male","Not applicable","Number","81.71564"
"Bolivia","2012","All genders","Not applicable","Number","83.67089"
"Bolivia","2012","Female","Not applicable","Number","85.68651"
"Bolivia","2011","Male","Not applicable","Number","81.62105"
"Bolivia","2011","Female","Not applicable","Number","84.55521"
"Bolivia","2011","All genders","Not applicable","Number","83.06613"
"Bolivia","2010","Male","Not applicable","Number","81.46104"
"Bolivia","2010","All genders","Not applicable","Number","83.05825"
"Bolivia","2010","Female","Not applicable","Number","84.70381"
"Bolivia","2009","Male","Not applicable","Number","84.38725"
"Bolivia","2009","Female","Not applicable","Number","87.09467"
